,Unnamed: 0,id,year,datetime,lat,lon,dep,mag,station,p_arrival_time,s_arrival_time
0,536619,1172862,2015,2015-06-01T00:35:49.610Z,45.9447,-129.9855,0.59,0.0,OOAXEC3,0.42,0.93
1,536620,1172862,2015,2015-06-01T00:35:49.610Z,45.9447,-129.9855,0.59,0.0,OOAXEC2,0.4,0.97
2,536621,1172862,2015,2015-06-01T00:35:49.610Z,45.9447,-129.9855,0.59,0.0,OOAXAS1,0.56,1.19
3,536622,1172862,2015,2015-06-01T00:35:49.610Z,45.9447,-129.9855,0.59,0.0,OOAXCC1,0.62,1.37
4,536623,1172862,2015,2015-06-01T00:35:49.610Z,45.9447,-129.9855,0.59,0.0,OOAXEC1,0.34,0.75
5,536624,1172863,2015,2015-06-01T00:44:50.590Z,45.971,-129.9943,0.83,0.0,OOAXEC3,0.96,1.82
6,536625,1172863,2015,2015-06-01T00:44:50.590Z,45.971,-129.9943,0.83,0.0,OOAXEC2,0.93,1.76
7,536626,1172863,2015,2015-06-01T00:44:50.590Z,45.971,-129.9943,0.83,0.0,OOAXCC1,0.64,1.15
8,536627,1172863,2015,2015-06-01T00:44:50.590Z,45.971,-129.9943,0.83,0.0,OOAXEC1,0.74,1.41
9,536628,1172865,2015,2015-06-01T03:51:26.070Z,45.9428,-129.9832,0.5,0.0,OOAXEC3,0.27,0.84
10,536629,1172865,2015,2015-06-01T03:51:26.070Z,45.9428,-129.9832,0.5,0.0,OOAXEC1,0.42,0.79
11,536630,1172866,2015,2015-06-01T04:27:35.690Z,45.9508,-129.9918,1.04,0.0,OOAXEC3,0.58,1.22
12,536631,1172866,2015,2015-06-01T04:27:35.690Z,45.9508,-129.9918,1.04,0.0,OOAXCC1,0.46,1.05
13,536632,1172866,2015,2015-06-01T04:27:35.690Z,45.9508,-129.9918,1.04,0.0,OOAXEC1,0.4,0.9
14,536633,1172867,2015,2015-06-01T04:34:14.540Z,45.952,-129.9837,1.15,0.0,OOAXEC3,0.65,1.15
15,536634,1172867,2015,2015-06-01T04:34:14.540Z,45.952,-129.9837,1.15,0.0,OOAXAS1,0.71,1.39
16,536635,1172867,2015,2015-06-01T04:34:14.540Z,45.952,-129.9837,1.15,0.0,OOAXCC1,0.58,1.23
17,536636,1172867,2015,2015-06-01T04:34:14.540Z,45.952,-129.9837,1.15,0.0,OOAXEC1,0.38,0.76
18,536637,1172868,2015,2015-06-01T04:52:10.190Z,45.9518,-129.9903,1.27,0.0,OOAXAS1,0.7,1.27
19,536638,1172868,2015,2015-06-01T04:52:10.190Z,45.9518,-129.9903,1.27,0.0,OOAXCC1,0.56,1.03
20,536639,1172868,2015,2015-06-01T04:52:10.190Z,45.9518,-129.9903,1.27,0.0,OOAXEC1,0.38,0.92
21,536640,1172869,2015,2015-06-01T05:08:11.970Z,45.9487,-129.9862,1.11,0.0,OOAXEC3,0.14,1.09
22,536641,1172869,2015,2015-06-01T05:08:11.970Z,45.9487,-129.9862,1.11,0.0,OOAXCC1,0.56,1.22
23,536642,1172869,2015,2015-06-01T05:08:11.970Z,45.9487,-129.9862,1.11,0.0,OOAXEC1,0.4,0.76
24,536643,1172872,2015,2015-06-01T07:36:43.960Z,45.9285,-129.9823,0.05,0.0,OOAXEC3,0.75,0.78
25,536644,1172872,2015,2015-06-01T07:36:43.960Z,45.9285,-129.9823,0.05,0.0,OOAXEC2,-1.05,1.06
26,536645,1172872,2015,2015-06-01T07:36:43.960Z,45.9285,-129.9823,0.05,0.0,OOAXEC1,1.71,2.83
27,536646,1172873,2015,2015-06-01T08:02:26.880Z,45.9618,-129.9317,0.59,0.0,OOAXAS1,2.46,3.61
28,536647,1172873,2015,2015-06-01T08:02:26.880Z,45.9618,-129.9317,0.59,0.0,OOAXEC1,1.29,1.33
29,536648,1172874,2015,2015-06-01T09:08:03.220Z,45.9732,-129.9975,1.37,0.0,OOAXAS2,1.11,2.02
30,536649,1172874,2015,2015-06-01T09:08:03.220Z,45.9732,-129.9975,1.37,0.0,OOAXEC3,0.98,1.97
31,536650,1172874,2015,2015-06-01T09:08:03.220Z,45.9732,-129.9975,1.37,0.0,OOAXEC2,0.95,1.92
32,536651,1172874,2015,2015-06-01T09:08:03.220Z,45.9732,-129.9975,1.37,0.0,OOAXCC1,0.65,1.2
33,536652,1172874,2015,2015-06-01T09:08:03.220Z,45.9732,-129.9975,1.37,0.0,OOAXEC1,0.76,1.62
34,536653,1172875,2015,2015-06-01T09:11:16.960Z,45.9827,-129.9877,0.64,0.0,OOAXAS2,1.25,2.12
35,536654,1172875,2015,2015-06-01T09:11:16.960Z,45.9827,-129.9877,0.64,0.0,OOAXAS1,1.61,2.77
36,536655,1172875,2015,2015-06-01T09:11:16.960Z,45.9827,-129.9877,0.64,0.0,OOAXCC1,0.83,1.54
37,536656,1172875,2015,2015-06-01T09:11:16.960Z,45.9827,-129.9877,0.64,0.0,OOAXEC1,0.87,1.68
38,536657,1172876,2015,2015-06-01T09:22:55.220Z,45.9377,-129.9783,0.28,0.0,OOAXEC2,-0.24,-0.24
39,536658,1172876,2015,2015-06-01T09:22:55.220Z,45.9377,-129.9783,0.28,0.0,OOAXCC1,1.28,1.3
40,536659,1172878,2015,2015-06-01T11:11:00.740Z,45.9173,-129.984,0.01,0.0,OOAXAS1,0.27,1.75
41,536660,1172878,2015,2015-06-01T11:11:00.740Z,45.9173,-129.984,0.01,0.0,OOAXCC1,2.19,2.23
42,536661,1172880,2015,2015-06-01T12:03:08.570Z,45.9435,-129.9823,1.34,0.0,OOAXAS2,0.78,1.28
43,536662,1172880,2015,2015-06-01T12:03:08.570Z,45.9435,-129.9823,1.34,0.0,OOAXEC3,0.45,0.94
44,536663,1172880,2015,2015-06-01T12:03:08.570Z,45.9435,-129.9823,1.34,0.0,OOAXEC2,0.43,0.89
45,536664,1172880,2015,2015-06-01T12:03:08.570Z,45.9435,-129.9823,1.34,0.0,OOAXAS1,0.6,1.21
46,536665,1172880,2015,2015-06-01T12:03:08.570Z,45.9435,-129.9823,1.34,0.0,OOAXCC1,0.7,1.43
47,536666,1172880,2015,2015-06-01T12:03:08.570Z,45.9435,-129.9823,1.34,0.0,OOAXEC1,0.39,0.8
